country_code,indicator,year,value
ZMB,WHOSIS_000001,2008,55.35570144
BOL,WHOSIS_000001,2017,72.44784311
KEN,WHOSIS_000001,2003,54.91168271
SWE,WHOSIS_000001,2007,80.77300072
CHE,WHOSIS_000001,2018,83.28963498
MYS,WHOSIS_000001,2020,76.78965822
MOZ,WHOSIS_000001,2008,53.06339796
LKA,WHOSIS_000001,2017,76.91196371
HTI,WHOSIS_000001,2001,57.13290254
BRA,WHOSIS_000001,2013,74.42169527
PNG,WHOSIS_000001,2003,63.55882521
SUR,WHOSIS_000001,2003,70.50252643
MDG,WHOSIS_000001,2004,60.11149963
SEAR,WHOSIS_000001,2021,68.36682977
ZWE,WHOSIS_000001,2015,57.4934476
OMN,WHOSIS_000001,2018,74.96470035
FJI,WHOSIS_000001,2004,67.12182465
TON,WHOSIS_000001,2003,71.25830559
MMR,WHOSIS_000001,2008,56.90830711
MLI,WHOSIS_000001,2004,55.6927022
IRN,WHOSIS_000001,2003,73.34953209
JAM,WHOSIS_000001,2004,73.7183442
MRT,WHOSIS_000001,2016,69.65770027
HUN,WHOSIS_000001,2006,73.37194198
AUT,WHOSIS_000001,2003,78.62740132
SOM,WHOSIS_000001,2000,49.28203144
BHS,WHOSIS_000001,2002,71.58107452
FJI,WHOSIS_000001,2011,67.39745191
HTI,WHOSIS_000001,2020,63.41051389
BFA,WHOSIS_000001,2020,62.92621842
TZA,WHOSIS_000001,2004,55.69111865
GNQ,WHOSIS_000001,2013,60.96850359
LBY,WHOSIS_000001,2006,74.61102298
VUT,WHOSIS_000001,2010,66.08385743
BIH,WHOSIS_000001,2020,75.70792926
ZAF,WHOSIS_000001,2015,63.26267522
DOM,WHOSIS_000001,2008,73.27970118
EST,WHOSIS_000001,2000,70.96926531
COD,WHOSIS_000001,2007,55.97784827
JAM,WHOSIS_000001,2017,72.33086714
BRA,WHOSIS_000001,2016,74.56188231
MRT,WHOSIS_000001,2002,64.15779119
WB_HI,WHOSIS_000001,2006,78.9430904
GEO,WHOSIS_000001,2009,71.32156688
SGP,WHOSIS_000001,2004,80.33727579
LBN,WHOSIS_000001,2019,79.28679608
SAU,WHOSIS_000001,2018,76.81092084
CZE,WHOSIS_000001,2015,78.48257933
ZMB,WHOSIS_000001,2013,59.35535185
EST,WHOSIS_000001,2011,76.28720152
MDA,WHOSIS_000001,2014,71.10984715
LBR,WHOSIS_000001,2017,62.62958569
GNB,WHOSIS_000001,2005,52.21818539
YEM,WHOSIS_000001,2010,67.95702862
BLZ,WHOSIS_000001,2010,73.60567774
MOZ,WHOSIS_000001,2007,52.58518387
COD,WHOSIS_000001,2020,62.03594732
TUN,WHOSIS_000001,2010,76.21500138
STP,WHOSIS_000001,2002,64.65366231
MAR,WHOSIS_000001,2001,70.45857649
DJI,WHOSIS_000001,2019,65.43875202
NGA,WHOSIS_000001,2008,58.74901559
EGY,WHOSIS_000001,2020,70.12068297
FRA,WHOSIS_000001,2003,79.09102734
BGR,WHOSIS_000001,2011,74.07018001
BLZ,WHOSIS_000001,2016,74.39638983
LUX,WHOSIS_000001,2002,78.80641336
CRI,WHOSIS_000001,2013,80.59788537
MDG,WHOSIS_000001,2011,62.75965875
BOL,WHOSIS_000001,2002,67.18430642
MMR,WHOSIS_000001,2016,67.8624826
PRT,WHOSIS_000001,2002,77.14647451
BRA,WHOSIS_000001,2002,72.03662703
NOR,WHOSIS_000001,2011,80.96925391
ARE,WHOSIS_000001,2021,78.30645695
COM,WHOSIS_000001,2007,64.77430676
SEN,WHOSIS_000001,2007,63.89029063
GNB,WHOSIS_000001,2008,54.20231863
LAO,WHOSIS_000001,2020,68.74340275
GNB,WHOSIS_000001,2017,58.3521892
