country,country_code,indicator,year,value
Ethiopia,ETH,SE.PRM.ENRR,2024,84.4160102082984
Ethiopia,ETH,SE.PRM.ENRR,2023,83.7319745881618
Ethiopia,ETH,SE.PRM.ENRR,2022,84.6317733971345
Ethiopia,ETH,SE.PRM.ENRR,2021,101.338920969252
Ethiopia,ETH,SE.PRM.ENRR,2020,112.6701710274
Ethiopia,ETH,SE.PRM.ENRR,2017,101.223991472845
Ethiopia,ETH,SE.PRM.ENRR,2015,94.0857534729235
Ethiopia,ETH,SE.PRM.ENRR,2014,93.1145890062913
Ethiopia,ETH,SE.PRM.ENRR,2012,89.9253221073517
Ethiopia,ETH,SE.PRM.ENRR,2011,90.6282577514648
Ethiopia,ETH,SE.PRM.ENRR,2010,88.511037030714
Ethiopia,ETH,SE.PRM.ENRR,2009,90.3419418334961
Ethiopia,ETH,SE.PRM.ENRR,2008,91.4530181884766
Ethiopia,ETH,SE.PRM.ENRR,2007,85.4697265625
Ethiopia,ETH,SE.PRM.ENRR,2006,79.2329330444336
Ethiopia,ETH,SE.PRM.ENRR,2005,74.5096893310547
Ethiopia,ETH,SE.PRM.ENRR,2004,63.5657081604004
Ethiopia,ETH,SE.PRM.ENRR,2003,60.7021408081055
Ethiopia,ETH,SE.PRM.ENRR,2002,59.6043586730957
Ethiopia,ETH,SE.PRM.ENRR,2001,57.1306991577148
Ethiopia,ETH,SE.PRM.ENRR,2000,52.2387313842773
Ethiopia,ETH,SE.PRM.ENRR,1999,48.1957511901855
Ethiopia,ETH,SE.PRM.ENRR,1998,49.6886405944824
Ethiopia,ETH,SE.PRM.ENRR,1997,41.0171699523926
Ethiopia,ETH,SE.PRM.ENRR,1996,36.3454704284668
Ethiopia,ETH,SE.PRM.ENRR,1995,30.682279586792
Ethiopia,ETH,SE.PRM.ENRR,1994,26.9080104827881
Ethiopia,ETH,SE.PRM.ENRR,1993,22.7072906494141
Ethiopia,ETH,SE.PRM.ENRR,1992,26.0608501434326
Ethiopia,ETH,SE.PRM.ENRR,1991,32.24951171875
Ethiopia,ETH,SE.PRM.ENRR,1990,35.6632194519043
Ethiopia,ETH,SE.PRM.ENRR,1989,39.2842597961426
Ethiopia,ETH,SE.PRM.ENRR,1988,41.0290489196777
Ethiopia,ETH,SE.PRM.ENRR,1987,40.3818893432617
Ethiopia,ETH,SE.PRM.ENRR,1986,37.3845710754395
Ethiopia,ETH,SE.PRM.ENRR,1985,38.0028190612793
Ethiopia,ETH,SE.PRM.ENRR,1984,40.6322288513184
Ethiopia,ETH,SE.PRM.ENRR,1983,42.0600204467773
Ethiopia,ETH,SE.PRM.ENRR,1982,40.9910202026367
Ethiopia,ETH,SE.PRM.ENRR,1981,38.4554481506348
Ethiopia,ETH,SE.PRM.ENRR,1980,32.682430267334
Ethiopia,ETH,SE.PRM.ENRR,1979,25.036979675293
Ethiopia,ETH,SE.PRM.ENRR,1978,21.2648506164551
Ethiopia,ETH,SE.PRM.ENRR,1977,22.2164802551269
Ethiopia,ETH,SE.PRM.ENRR,1976,21.1257495880127
Ethiopia,ETH,SE.PRM.ENRR,1975,19.3024501800537
Ethiopia,ETH,SE.PRM.ENRR,1974,17.8880195617676
Ethiopia,ETH,SE.PRM.ENRR,1973,16.4217891693115
Ethiopia,ETH,SE.PRM.ENRR,1972,15.9780797958374
Ethiopia,ETH,SE.PRM.ENRR,1971,15.2087097167969
Ethiopia,ETH,SP.POP.TOTL,2025,135472051.0
Ethiopia,ETH,SP.POP.TOTL,2024,132059767.0
Ethiopia,ETH,SP.POP.TOTL,2023,128691692.0
Ethiopia,ETH,SP.POP.TOTL,2022,125384287.0
Ethiopia,ETH,SP.POP.TOTL,2021,122138588.0
Ethiopia,ETH,SP.POP.TOTL,2020,118917671.0
Ethiopia,ETH,SP.POP.TOTL,2019,115737383.0
Ethiopia,ETH,SP.POP.TOTL,2018,112664152.0
Ethiopia,ETH,SP.POP.TOTL,2017,109666481.0
Ethiopia,ETH,SP.POP.TOTL,2016,106718162.0
Ethiopia,ETH,SP.POP.TOTL,2015,103867135.0
Ethiopia,ETH,SP.POP.TOTL,2014,101115610.0
Ethiopia,ETH,SP.POP.TOTL,2013,98438751.0
Ethiopia,ETH,SP.POP.TOTL,2012,95798767.0
Ethiopia,ETH,SP.POP.TOTL,2011,93149970.0
Ethiopia,ETH,SP.POP.TOTL,2010,90538514.0
Ethiopia,ETH,SP.POP.TOTL,2009,88007636.0
Ethiopia,ETH,SP.POP.TOTL,2008,85543668.0
Ethiopia,ETH,SP.POP.TOTL,2007,83103217.0
Ethiopia,ETH,SP.POP.TOTL,2006,80703490.0
Ethiopia,ETH,SP.POP.TOTL,2005,78367470.0
Ethiopia,ETH,SP.POP.TOTL,2004,76077206.0
Ethiopia,ETH,SP.POP.TOTL,2003,73832663.0
Ethiopia,ETH,SP.POP.TOTL,2002,71635517.0
Ethiopia,ETH,SP.POP.TOTL,2001,69487762.0
Ethiopia,ETH,SP.POP.TOTL,2000,67411494.0
Ethiopia,ETH,SP.POP.TOTL,1999,65374561.0
Ethiopia,ETH,SP.POP.TOTL,1998,63363524.0
Ethiopia,ETH,SP.POP.TOTL,1997,61404539.0
Ethiopia,ETH,SP.POP.TOTL,1996,59467635.0
Ethiopia,ETH,SP.POP.TOTL,1995,57537335.0
Ethiopia,ETH,SP.POP.TOTL,1994,55611508.0
Ethiopia,ETH,SP.POP.TOTL,1993,53708891.0
Ethiopia,ETH,SP.POP.TOTL,1992,51853747.0
Ethiopia,ETH,SP.POP.TOTL,1991,49717198.0
Ethiopia,ETH,SP.POP.TOTL,1990,47609755.0
Ethiopia,ETH,SP.POP.TOTL,1989,45879690.0
Ethiopia,ETH,SP.POP.TOTL,1988,44150825.0
Ethiopia,ETH,SP.POP.TOTL,1987,42460039.0
Ethiopia,ETH,SP.POP.TOTL,1986,41037656.0
Ethiopia,ETH,SP.POP.TOTL,1985,39842136.0
Ethiopia,ETH,SP.POP.TOTL,1984,38735722.0
Ethiopia,ETH,SP.POP.TOTL,1983,37740817.0
Ethiopia,ETH,SP.POP.TOTL,1982,36701290.0
Ethiopia,ETH,SP.POP.TOTL,1981,35304012.0
Ethiopia,ETH,SP.POP.TOTL,1980,34428514.0
Ethiopia,ETH,SP.POP.TOTL,1979,34238652.0
Ethiopia,ETH,SP.POP.TOTL,1978,33734592.0
Ethiopia,ETH,SP.POP.TOTL,1977,33167272.0
Ethiopia,ETH,SP.POP.TOTL,1976,32534418.0
Ethiopia,ETH,SP.POP.TOTL,1975,31723252.0
Ethiopia,ETH,SP.POP.TOTL,1974,30957273.0
Ethiopia,ETH,SP.POP.TOTL,1973,30166785.0
Ethiopia,ETH,SP.POP.TOTL,1972,29374608.0
Ethiopia,ETH,SP.POP.TOTL,1971,28600106.0
Ethiopia,ETH,SP.POP.TOTL,1970,27829128.0
Ethiopia,ETH,SP.POP.TOTL,1969,27072571.0
Ethiopia,ETH,SP.POP.TOTL,1968,26337930.0
Ethiopia,ETH,SP.POP.TOTL,1967,25620276.0
